fi_id,pricing_date,open,high,low,close,volume,dividends
47,2022-09-20,9.899999619,10.23999977,9.630000114,9.649999619,10417500,0
22,2022-09-20,240.3699951,250.4900055,239.6600037,242.8500061,16037400,0
28,2022-09-20,499.2345382,499.661312,489.7262675,495.7805786,1843100,0
25,2022-09-20,123.3499985,124.4000015,121.1399994,122.1900024,47698400,0
15,2022-09-20,152.4953267,157.1477346,152.1772218,155.9746857,107689800,0
49,2022-09-20,102.5255205,103.1377927,100.4418284,101.1429749,10006600,0
35,2022-09-20,158.8246751,159.2623396,153.8838935,155.6442871,3019600,0
60,2022-09-20,102.0800018,102.3700027,100.5199966,101.1399994,26517100,0
30,2022-09-20,98.01999664,99.25,96.94499969,97.26000214,1323300,0
11,2022-09-20,77.44999695,78.83999634,76.76000214,77.08999634,3157800,0
34,2022-09-20,108.2799988,108.4100037,106.8600006,107.5699997,6957400,0
58,2022-09-20,36.84999847,37.59000015,36.25999832,36.40999985,15256000,0
54,2022-09-20,10.89000034,10.89000034,10.62199974,10.67000008,2031000,0
32,2022-09-20,32.79112457,33.20026504,32.19237991,32.68135452,7618900,0
5,2022-09-20,239.7538037,241.1800126,237.3470469,240.1301575,26660300,0
3,2022-09-20,34.81323216,34.86216764,33.98131778,34.34344482,4953900,0
59,2022-09-20,10.73043484,10.80919025,10.34650244,10.602458,6933600,0
46,2022-09-20,306.9100037,313.3299866,305.5799866,308.730011,61642800,0
40,2022-09-20,89.75393436,90.10644129,88.22636947,88.90202332,6560000,0
56,2022-09-20,132.0692196,134.7475895,130.4901988,131.6794586,52481800,0
36,2022-09-20,151,151.5800018,148.8500061,149.8000031,5505700,0
48,2022-09-20,24.20692747,24.26611259,23.98004776,24.05896187,1323400,0
61,2022-09-20,73.79309912,73.96856519,72.91577625,73.26670837,2738600,0
43,2022-09-20,217.4427599,219.0136713,216.4118503,218.4245758,850100,0
23,2022-09-20,6.892194677,6.901727213,6.692006414,6.777801514,1080300,0
20,2022-09-20,1692.890015,1704.109985,1681.22998,1699.630005,265100,0
29,2022-09-20,70.70415497,70.70415497,70.70415497,70.70415497,200,0
6,2022-09-20,25.17000008,25.62999916,24.51499939,24.76000023,10758300,0
33,2022-09-20,46.8717257,47.41003043,46.49001877,46.50959396,500200,0
50,2022-09-20,32.31000137,32.38999939,30.79000092,30.95000076,26104100,0
16,2022-09-20,76.62000275,78.27999878,76.30000305,77.29000092,871400,0
44,2022-09-20,76.08000183,76.58000183,74.73000336,75.25,51129100,0
55,2022-09-20,58.36413039,58.70641183,58.01206734,58.57928085,11984600,0
13,2022-09-20,67.0551099,67.78202493,66.41781808,67.02523804,180300,0
18,2022-09-20,151.3856103,152.3811737,149.9563313,151.2870331,1725900,0
14,2022-09-20,53.92697906,53.92697906,53.92697906,53.92697906,100,0
38,2022-09-20,189.5743335,191.4889178,188.7707875,190.5365906,5292500,0
12,2022-09-20,292.8200073,294.0799866,287.8099976,291.0599976,6548800,0
4,2022-09-20,62.97000122,63.69900131,61.40000153,61.47000122,13407700,0
21,2022-09-20,43.75143745,43.85760374,43.47153548,43.64526749,1769400,0
9,2022-09-20,41.6453881,41.65507289,40.9191839,41.22903442,16813900,0
52,2022-09-20,113.834297,114.1057685,111.1486529,112.3024139,9619000,0
1,2022-09-20,124.3568119,125.1549159,122.7014796,124.2385712,113500,0
39,2022-09-20,117.9300003,121.6600037,116.6200027,116.7099991,5610900,0
8,2022-09-20,155.0884377,156.7608461,153.228005,155.375412,2102900,0
27,2022-09-20,6.650000095,6.679999828,6.53000021,6.579999924,252700,0
57,2022-09-20,42.43000031,43.16999817,41.63999939,41.75,3649100,0
42,2022-09-20,141.6000061,142.1499939,140.1999969,140.7299957,276900,0
41,2022-09-20,131.035078,132.727906,129.7007325,131.1246948,1349600,0
37,2022-09-20,250.5199651,250.901452,247.2722958,249.8352051,2140200,0
31,2022-09-20,269.5619492,271.4117255,264.1975713,266.923584,2940700,0
10,2022-09-20,309.2224586,312.412462,307.5131676,311.3193054,2769600,0
17,2022-09-20,160.6015474,161.262532,159.7267114,160.3585358,7143400,0
19,2022-09-20,31.48999977,32.56000137,31.19000053,31.48999977,23652400,0
2,2022-09-20,133.9035417,134.4492491,133.045993,133.9912415,5589800,0
7,2022-09-20,68.08999634,69.80000305,66.16999817,67.94000244,7974500,0
53,2022-09-20,158.3144765,158.3341263,154.2674772,154.6112671,5372100,0
24,2022-09-20,109.1597125,110.9585224,108.6389998,110.3147354,4155200,0
45,2022-09-20,18.74041396,18.97969402,18.27142527,18.42456436,8330100,0
51,2022-09-20,17.77000046,17.81999969,17.45000076,17.60000038,1979300,0
26,2022-09-20,37.11878697,37.3379732,35.57495143,35.96567535,2520900,0
47,2022-09-21,9.850000381,9.899999619,9.050000191,9.050000191,12121300,0
22,2022-09-21,242.6699982,248.3000031,236.6799927,236.8699951,9166800,0
28,2022-09-21,498.7383064,502.6388793,489.309423,489.3789063,2082600,0
25,2022-09-21,122.4899979,123.7600021,118.4499969,118.5400009,58498900,0
15,2022-09-21,156.4121081,157.8038609,152.6941738,152.8134613,101696800,0
49,2022-09-21,101.3898646,102.337894,98.52602152,98.54577637,6279300,0
35,2022-09-21,156.5876887,159.3304118,154.6716766,154.6716766,2809500,0
60,2022-09-21,101.6699982,102.8799973,99.26999664,99.27999878,31487300,0
30,2022-09-21,96.95999908,99.42700195,95.12000275,95.38999939,873500,0
11,2022-09-21,77.83000183,78.83000183,75.31999969,75.94000244,3274100,0
34,2022-09-21,107.3899994,108.0400009,104.4899979,104.4899979,9776400,0
58,2022-09-21,36.65999985,37.77000046,35.77000046,35.81000137,15884700,0
54,2022-09-21,10.47200012,10.67599964,10.47200012,10.56999969,966000,0
32,2022-09-21,32.33209105,32.39196285,31.01485617,31.09468842,13704400,0
5,2022-09-21,241.9327388,245.2903014,236.6141106,236.6636353,28625600,0
3,2022-09-21,33.81493298,34.51961586,33.39408112,33.39408112,6164900,0
59,2022-09-21,10.75012473,11.05530174,10.61230228,10.65167999,4288800,0
46,2022-09-21,308.2900085,313.7999878,300.6300049,300.7999878,62555700,0
40,2022-09-21,89.39161669,89.61682963,86.72817815,86.7575531,8806800,0
56,2022-09-21,132.0492284,140.2242203,131.0198593,132.5289307,80767900,0
36,2022-09-21,151.2200012,153.3000031,147.5099945,147.6300049,6164400,0
48,2022-09-21,23.9405908,23.96031979,23.47696877,23.47696877,1166200,0
61,2022-09-21,73.67612319,74.39748033,73.00350208,73.01325226,2884500,0
43,2022-09-21,219.1314725,222.5285468,219.1314725,219.3474731,755200,0
23,2022-09-21,6.768268728,6.825465311,6.625277042,6.625277042,481500,0
20,2022-09-21,1720,1720,1663.619995,1665.280029,260500,0
29,2022-09-21,69.51500538,70.54744754,68.95269012,68.95269012,3000,0
6,2022-09-21,25.02000046,25.18000031,23.79999924,23.90999985,12241400,0
33,2022-09-21,46.60746623,47.29258304,46.03001111,46.05937576,360200,0
50,2022-09-21,31.04000092,32.43000031,30.5,30.54999924,28911800,0
16,2022-09-21,77.94999695,78.91000366,74.72000122,74.77999878,1044500,0
44,2022-09-21,75.44000244,78.41000366,74.44999695,74.48000336,82069700,0
55,2022-09-21,58.81398716,59.3616412,58.08052373,58.09030533,14165300,0
13,2022-09-21,67.19452284,67.79198296,65.87014771,65.87014771,140600,0
18,2022-09-21,152.460023,152.598022,146.5359012,146.5851898,2599900,0
14,2022-09-21,53.06289291,53.06289291,53.06289291,53.06289291,100,0
38,2022-09-21,190.9928902,191.5484168,185.5070414,185.526886,6705900,0
12,2022-09-21,292.8399963,297.9400024,286.2200012,286.2999878,4913100,0
4,2022-09-21,61.36000061,63.50999832,59.45000076,59.45000076,14568700,0
21,2022-09-21,43.79969524,44.57183543,43.77073745,43.94446945,3362500,0
9,2022-09-21,40.97728514,41.50983419,40.25108089,40.27044678,21415900,0
52,2022-09-21,112.9907935,113.0489639,108.9962648,109.0641327,12606300,0
1,2022-09-21,124.2188688,126.3865699,122.671922,122.8788376,106300,0
39,2022-09-21,116.3700027,119.3300018,112.3600006,114.0100021,6898700,0
8,2022-09-21,154.6827136,154.870738,146.6076606,146.6274567,3281200,0
27,2022-09-21,6.440000057,6.449999809,6.320000172,6.349999905,116400,0
57,2022-09-21,41.88000107,43.50999832,41.79000092,42.00999832,2267600,0
42,2022-09-21,139.5,140,137.5700073,137.5800018,238100,0
41,2022-09-21,131.0251355,131.0450555,124.1044388,124.1044388,2325900,0
37,2022-09-21,249.5710885,251.3123037,245.6093292,245.6093292,2438800,0
31,2022-09-21,268.7052407,272.7260883,264.3339222,264.392334,3173500,0
10,2022-09-21,312.5217789,313.0186655,302.3256571,302.6039124,2366300,0
17,2022-09-21,160.4071565,162.1373985,158.6769145,158.7157898,8071200,0
